bar_index,300348.SZ,300735.SZ,688213.SH,001696.SZ,301363.SZ,301262.SZ,301348.SZ,300002.SZ,688630.SH,688088.SH,688400.SH,300723.SZ,300366.SZ,688766.SH,603103.SH,002920.SZ,603728.SH,300260.SZ,300693.SZ,688091.SH
0,1020568.000000,37699242.000000,687074.190000,18101864.000000,349298.000000,853079.000000,2125725.000000,3728701.000000,285423.020000,347903.340000,290107.240000,347060.000000,1344226.000000,,552295.000000,3365417.000000,2142874.000000,894213.000000,1320873.000000,180663.400000
1,628717.000000,15660564.600000,559676.110000,4577506.000000,158927.000000,313824.830000,624130.000000,1584218.000000,187959.920000,982551.900000,109130.710000,1179682.000000,1704763.000000,,325009.000000,2205347.000000,1004778.000000,561632.000000,856564.000000,255749.150000
2,279211.000000,5749511.000000,551587.340000,2625512.000000,78139.000000,398771.000000,341961.000000,688656.000000,758789.330000,732291.980000,51718.060000,5899.000000,137500.000000,,168909.000000,277793.000000,477377.000000,264545.000000,803863.000000,39031.500000
3,250699.000000,5440187.000000,878219.600000,2266479.000000,219745.000000,226498.000000,296693.000000,451770.000000,39811.430000,295438.000000,57480.730000,53081.000000,63080.000000,,142930.000000,156404.000000,1289312.000000,50002.000000,488674.000000,270853.740000
4,154977.000000,6332656.000000,357549.680000,3894483.000000,198929.000000,178025.310000,342462.000000,483795.000000,52697.570000,111130.110000,22001.250000,186619.000000,249659.000000,,103025.000000,1708580.000000,529138.000000,206303.000000,277388.000000,9066.000000
5,164591.000000,4124908.000000,580749.810000,4409185.000000,60501.000000,49526.000000,233114.000000,352259.000000,18777.000000,1025452.580000,191412.430000,3930.000000,104688.000000,,91980.000000,943327.000000,500985.000000,250280.000000,345639.000000,27753.330000
6,114765.000000,3795957.000000,206110.680000,4333554.000000,115049.000000,42832.000000,583824.000000,547751.000000,267166.800000,191714.680000,17904.620000,78600.000000,102802.000000,,206045.000000,528803.000000,160507.000000,212889.000000,1290602.000000,13650.000000
7,42854.000000,5311360.000000,157504.320000,1949782.000000,77607.000000,158047.000000,536660.000000,210246.000000,343769.630000,134334.030000,143501.900000,314471.000000,162858.000000,,178590.000000,156115.000000,88455.000000,18795.000000,473781.000000,102396.780000
8,162917.000000,6234770.000000,210004.690000,3075314.000000,63189.000000,88070.000000,359883.000000,343038.000000,124809.160000,565036.140000,0.000000,64890.000000,345850.000000,,118001.000000,312415.000000,479572.000000,375919.000000,575925.000000,279133.600000
9,128919.000000,3502956.000000,202682.230000,2169871.000000,14356.000000,70036.000000,623968.000000,822500.000000,156055.550000,117034.960000,0.000000,23562.000000,74370.000000,,154962.000000,573244.000000,225581.000000,355070.000000,370793.000000,77257.600000
