bar_index,300348.SZ,300735.SZ,688213.SH,001696.SZ,301363.SZ,301262.SZ,301348.SZ,300002.SZ,688630.SH,688088.SH,688400.SH,300723.SZ,300366.SZ,688766.SH,603103.SH,002920.SZ,603728.SH,300260.SZ,300693.SZ,688091.SH
0,150000.000000,1748000.000000,14290.000000,1704900.000000,12100.000000,37800.000000,70000.000000,463000.000000,4563.000000,12084.000000,17302.000000,17700.000000,186300.000000,,40200.000000,38600.000000,53200.000000,42800.000000,62700.000000,8060.000000
1,92700.000000,726460.000000,11597.000000,428400.000000,5500.000000,14000.000000,20600.000000,196700.000000,3002.000000,34115.000000,6553.000000,60300.000000,236800.000000,,23600.000000,25400.000000,25000.000000,26900.000000,40300.000000,11325.000000
2,41300.000000,266400.000000,11436.000000,246000.000000,2700.000000,17800.000000,11300.000000,85500.000000,12132.000000,25509.000000,3113.000000,300.000000,19200.000000,,12300.000000,3200.000000,11900.000000,12700.000000,37600.000000,1725.000000
3,37100.000000,251700.000000,18135.000000,211300.000000,7600.000000,10100.000000,9800.000000,56000.000000,635.000000,10280.000000,3461.000000,2700.000000,8800.000000,,10400.000000,1800.000000,32200.000000,2400.000000,22900.000000,11948.000000
4,22900.000000,295000.000000,7359.000000,361900.000000,6900.000000,7917.000000,11300.000000,60000.000000,841.000000,3863.000000,1326.000000,9500.000000,34700.000000,,7500.000000,19700.000000,13200.000000,9900.000000,13000.000000,400.000000
5,24300.000000,192700.000000,11952.000000,410500.000000,2100.000000,2200.000000,7700.000000,43700.000000,300.000000,35665.000000,11537.000000,200.000000,14500.000000,,6700.000000,10900.000000,12500.000000,12000.000000,16200.000000,1223.000000
6,16900.000000,177000.000000,4248.000000,404300.000000,4000.000000,1900.000000,19300.000000,67900.000000,4268.000000,6657.000000,1078.000000,4000.000000,14200.000000,,15000.000000,6100.000000,4000.000000,10200.000000,60500.000000,600.000000
7,6300.000000,247700.000000,3238.000000,181500.000000,2700.000000,7000.000000,17700.000000,26000.000000,5488.000000,4662.000000,8655.000000,16000.000000,22500.000000,,13000.000000,1800.000000,2200.000000,900.000000,22200.000000,4500.000000
8,24000.000000,291100.000000,4319.000000,286100.000000,2200.000000,3900.000000,11800.000000,42400.000000,1986.000000,19586.000000,0.000000,3300.000000,47800.000000,,8600.000000,3600.000000,11900.000000,18000.000000,27000.000000,12295.000000
9,19000.000000,163200.000000,4173.000000,201600.000000,500.000000,3100.000000,20400.000000,101700.000000,2479.000000,4057.000000,0.000000,1200.000000,10300.000000,,11300.000000,6600.000000,5600.000000,17000.000000,17400.000000,3405.000000
10,35900.000000,110800.000000,10095.000000,260700.000000,7900.000000,7700.000000,19100.000000,70700.000000,1300.000000,975.000000,1066.000000,3300.000000,38200.000000,,31900.000000,5800.000000,4300.000000,10200.000000,25000.000000,907.000000
11,17900.000000,168200.000000,2140.000000,212700.000000,5300.000000,1800.000000,19200.000000,60100.000000,71.000000,2543.000000,2000.000000,600.000000,22300.000000,,5000.000000,5600.000000,8200.000000,25400.000000,10200.000000,1510.000000
12,15600.000000,234700.000000,200.000000,202300.000000,2200.000000,4400.000000,10000.000000,54700.000000,3929.000000,5145.000000,5630.000000,700.000000,6700.000000,,7800.000000,7900.000000,1100.000000,9100.000000,31900.000000,2000.000000
13,7800.000000,299000.000000,2743.000000,218500.000000,7600.000000,5300.000000,7000.000000,62600.000000,2881.000000,3536.000000,2291.000000,6000.000000,41300.000000,,10600.000000,8900.000000,17400.000000,13200.000000,9500.000000,2988.000000
14,26100.000000,99600.000000,2079.000000,241300.000000,1900.000000,1000.000000,5600.000000,102800.000000,2160.000000,5116.000000,4820.000000,10000.000000,51800.000000,,6200.000000,4700.000000,2100.000000,5300.000000,16200.000000,3728.000000
15,3200.000000,248000.000000,2231.000000,158000.000000,4900.000000,3900.000000,6900.000000,58400.000000,675.000000,3718.000000,2500.000000,700.000000,12000.000000,,2300.000000,1100.000000,8100.000000,5700.000000,8200.000000,16000.000000
